NAME,SHARES,PERCENTAGE
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"316,600,967",19.01
DBS NOMINEES PRIVATE LIMITED,"310,546,747",18.64
DBSN SERVICES PRIVATE LIMITED,"144,113,706",8.65
WEE INVESTMENTS PRIVATE LIMITED,"133,278,368",8.0
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"114,329,538",6.86
WAH HIN AND COMPANY PRIVATE LIMITED,"85,988,870",5.16
TAI TAK ESTATES SENDIRIAN BERHAD,"68,668,000",4.12
UOB KAY HIAN PRIVATE LIMITED,"42,268,001",2.54
C Y WEE & COMPANY PRIVATE LIMITED,"37,781,750",2.27
RAFFLES NOMINEES PRIVATE LIMITED,"36,027,484",2.16
HAW PAR INVESTMENT HOLDINGS PRIVATE LIMITED,"22,832,059",1.37
WEE CHO YAW,"21,599,798",1.3
PICKWICK SECURITIES PRIVATE LIMITED,"20,469,962",1.23
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"19,472,944",1.17
STRAITS MARITIME LEASING PRIVATE LIMITED,"16,696,298",1.0
TEE TEH SDN BERHAD,"10,600,487",0.64
UOB NOMINEES (2006) PRIVATE LIMITED,"9,156,167",0.55
HAW PAR EQUITIES PRIVATE LIMITED,"7,541,628",0.45
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"5,273,236",0.32
HAW PAR TRADING PRIVATE LIMITED,"4,686,739",0.28
