NAME,SHARES,PERCENTAGE
ACCORDIA GOLF COMPANY LIMITED,"317,097,000",28.85
DBS NOMINEES PRIVATE LIMITED,"230,397,500",20.96
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"122,437,388",11.14
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"110,411,219",10.05
RAFFLES NOMINEES PRIVATE LIMITED,"81,310,697",7.4
DBSN SERVICES PRIVATE LIMITED,"25,369,246",2.31
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"24,607,655",2.24
ABN AMRO CLEARING BANK NV,"14,563,400",1.33
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"12,247,700",1.11
UOB KAY HIAN PRIVATE LIMITED,"10,468,500",0.95
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"5,455,450",0.5
MERRILL LYNCH SINGAPORE PRIVATE LIMITED,"4,966,350",0.45
DAIWA CAPITAL MARKETS SINGAPORE LIMITED,"4,790,000",0.44
PHILLIP SECURITIES PRIVATE LIMITED,"4,498,900",0.41
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"3,001,171",0.27
DB NOMINEES SINGAPORE PRIVATE LIMITED,"2,856,500",0.26
XIAO ZHONGMIN,"2,139,100",0.19
OCBC SECURITIES PRIVATE LIMITED,"1,787,200",0.16
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"1,758,400",0.16
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"1,522,700",0.14
