NAME,SHARES,PERCENTAGE
DBS NOMINEES PRIVATE LIMITED,"110,899,727",16.23
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"103,081,055",15.08
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"70,333,380",10.29
RAFFLES NOMINEES PRIVATE LIMITED,"54,731,057",8.01
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"48,990,758",7.17
AIMS FINANCIAL HOLDINGS LIMITED,"46,360,873",6.78
DBSN SERVICES PRIVATE LIMITED,"45,144,236",6.61
RHB SECURITIES SINGAPORE PRIVATE LIMITED,"22,089,786",3.23
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"12,037,227",1.76
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"8,735,910",1.28
OCBC SECURITIES PRIVATE LIMITED,"7,125,908",1.04
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"3,785,529",0.55
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"3,050,224",0.45
ABN AMRO CLEARING BANK NV,"2,759,017",0.4
PHILLIP SECURITIES PRIVATE LIMITED,"2,558,114",0.37
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"2,411,869",0.35
DB NOMINEES SINGAPORE PRIVATE LIMITED,"2,297,302",0.34
SNG KAY BOON TERENCE,"1,990,161",0.29
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"1,939,290",0.28
UOB KAY HIAN PRIVATE LIMITED,"1,849,837",0.27
