NAME,SHARES,PERCENTAGE
SBR PRIVATE LIMITED ,"746,646,934",19.9
CITIBANK NOMINEES SINGAPORE PTE LTD ,"745,620,703",19.9
DBS NOMINEES (PRIVATE) LIMITED ,"579,501,807",15.4
DBSN SERVICES PTE. LTD. ,"353,911,117",9.4
HSBC (SINGAPORE) NOMINEES PTE LTD ,"336,037,404",9
E-PAVILION PTE LTD ,"215,869,742",5.8
CAPITALAND COMMERCIAL TRUST MANAGEMENT LIMITED,"163,074,719",4.4
RAFFLES NOMINEES (PTE.) LIMITED ,"123,489,122",3.3
BPSS NOMINEES SINGAPORE (PTE.) LTD. ,"56,382,095",1.5
DB NOMINEES (SINGAPORE) PTE LTD,"15,459,259",0.4
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED ,"14,824,459",0.4
OCBC SECURITIES PRIVATE LIMITED,"10,101,424",0.3
MAYBANK KIM ENG SECURITIES PTE. LTD. ,"8,163,167",0.2
GRALF MAX HANS SIEGHOLD ,"8,000,000",0.2
OCBC NOMINEES SINGAPORE PRIVATE LIMITED ,"7,134,430",0.2
PEI HWA FOUNDATION LIMITED ,"7,055,700",0.2
UOB KAY HIAN PRIVATE LIMITED ,"6,008,358",0.2
TOH CAPITAL PTE LTD,"5,672,600",0.2
PHILLIP SECURITIES PTE LTD ,"4,623,597",0.1
DBS VICKERS SECURITIES (SINGAPORE) PTE LTD ,"3,911,384",0.1
