NAME,SHARES,PERCENTAGE
CLSA SINGAPORE PRIVATE LIMITED,"1,842,336,294",76.12
NEW RESOURCES LLC,"83,216,080",3.44
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"65,345,701",2.7
P&L CAPITAL LIMITED,"62,098,410",2.57
GREEN RESOURCES LIMITED,"57,121,334",2.36
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"36,140,985",1.49
LIN YUCHENG,"32,305,600",1.33
GE HAILIN,"26,922,656",1.11
RAFFLES NOMINEES PRIVATE LIMITED,"25,961,564",1.07
DBS NOMINEES PRIVATE LIMITED,"17,716,253",0.73
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"9,940,000",0.41
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"9,672,000",0.4
UOB KAY HIAN PRIVATE LIMITED,"8,204,150",0.34
TAN HUCHUAN,"6,685,600",0.28
PHILLIP SECURITIES PRIVATE LIMITED,"5,740,758",0.24
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"5,245,892",0.22
RHB SECURITIES SINGAPORE PRIVATE LIMITED,"4,789,500",0.2
OCBC SECURITIES PRIVATE LIMITED,"4,668,500",0.19
KGI SECURITIES SINGAPORE PRIVATE LIMITED,"4,241,800",0.18
TAN SWEE TECK MICHAEL,"3,249,000",0.13
