NAME,SHARES,PERCENTAGE
HONG LEONG HOLDINGS LIMITED,"148,787,477",16.41
HONG LEONG INVESTMENT HOLDINGS PRIVATE LIMITED,"138,169,335",15.24
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"126,603,730",13.96
DBS NOMINEES PRIVATE LIMITED,"93,913,896",10.36
DBSN SERVICES PRIVATE LIMITED,"68,502,221",7.55
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"32,776,820",3.61
HONG REALTY PRIVATE LIMITED,"29,088,799",3.21
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"24,464,136",2.7
RAFFLES NOMINEES PRIVATE LIMITED,"22,533,865",2.49
EUROFORM SINGAPORE PRIVATE LIMITED,"19,603,045",2.16
HONG LEONG CORPORATION HOLDINGS PRIVATE LIMITED,"18,584,760",2.05
SGI INVESTMENT HOLDINGS PRIVATE LIMITED,"15,752,414",1.74
NIN INVESTMENT HOLDINGS PRIVATE LIMITED,"15,161,490",1.67
GARDEN ESTATES PRIVATE LIMITED,"14,152,365",1.56
DAIWA (MALAYA) PRIVATE LIMITED,"9,469,000",1.04
GORDON PROPERTIES PRIVATE LIMITED,"9,304,616",1.03
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"8,707,258",0.96
UOB NOMINEES (2006) PRIVATE LIMITED,"6,381,460",0.7
OCBC SECURITIES PRIVATE LIMITED,"6,194,460",0.68
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"5,758,677",0.63
