NAME,SHARES,PERCENTAGE
GOLDEN DEVELOPMENT PRIVATE LIMITED,"420,989,092",22.45
GOLDEN LANDMARK PRIVATE LIMITED,"197,682,633",10.54
FAR EAST ORGANIZATION CENTRE PRIVATE LIMITED,"187,892,598",10.02
OXLEY HILL PROPERTIES PRIVATE LIMITED,"159,214,054",8.49
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"153,846,752",8.21
DBS NOMINEES PRIVATE LIMITED,"112,385,369",5.99
RIVERLAND PRIVATE LIMITED,"82,754,081",4.41
FEO HOSPITALITY ASSET MANAGEMENT PRIVATE LIMITED,"73,955,703",3.94
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"62,105,574",3.31
DBSN SERVICES PRIVATE LIMITED,"50,918,236",2.72
RAFFLES NOMINEES PRIVATE LIMITED,"43,238,510",2.31
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"13,682,344",0.73
STC INTERNATIONAL HOLDINGS PRIVATE LIMITED,"13,493,000",0.72
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"9,096,865",0.49
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"7,816,447",0.42
OCBC SECURITIES PRIVATE LIMITED,"4,672,951",0.25
UOB KAY HIAN PRIVATE LIMITED,"3,761,042",0.2
PHILLIP SECURITIES PRIVATE LIMITED,"3,487,352",0.19
DB NOMINEES SINGAPORE PRIVATE LIMITED,"3,366,086",0.18
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"3,107,027",0.17
