NAME,SHARES,PERCENTAGE
DBS NOMINEES PRIVATE LIMITED,"142,175,452",15.9
FRASERS PROPERTY COMMERCIAL TRUST HOLDINGS PRIVATE LIMITED,"123,621,055",13.8
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"117,539,930",13.2
FRASERS COMMERCIAL ASSET MANAGEMENT LIMITED,"103,412,688",11.6
RAFFLES NOMINEES PRIVATE LIMITED,"59,222,492",6.6
DBSN SERVICES PRIVATE LIMITED,"36,989,944",4.1
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"35,897,962",4.0
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"7,373,852",0.8
OCBC SECURITIES PRIVATE LIMITED ,"7,170,278",0.8
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"6,874,774",0.8
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"6,606,533",0.7
DB NOMINEES SINGAPORE PRIVATE LIMITED,"4,979,659",0.6
OCBC NOMINEES SINGAPORE PRIVATE LIMITED ,"4,170,851",0.5
UOB KAY HIAN PRIVATE LIMITED,"3,791,339",0.4
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"3,761,798",0.4
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"3,562,706",0.4
SUNSHINE VENTURES PRIVATE LIMITED,"3,250,645",0.4
ABN AMRO CLEARING BANK NV ,"2,661,301",0.3
HENG SIEW ENG,"2,572,000",0.3
PHILLIP SECURITIES PRIVATE LIMITED,"2,221,268",0.3
