NAME,SHARES,PERCENTAGE
FRASERS PROPERTY INDUSTRIAL TRUST HOLDINGS PRIVATE LIMITED,"419,072,356",20.72
DBS NOMINEES PRIVATE LIMITED,"408,858,057",20.22
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"272,295,654",13.47
DBSN SERVICES PRIVATE LIMITED,"228,887,478",11.32
DB NOMINEES SINGAPORE PRIVATE LIMITED,"153,573,349",7.59
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"99,141,224",4.9
RAFFLES NOMINEES PRIVATE LIMITED,"81,264,360",4.02
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"19,214,310",0.95
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"18,441,754",0.91
NTUC FAIRPRICE CO-OPERATIVE LIMITED,"11,079,000",0.55
MEREN PRIVATE LIMITED,"11,000,000",0.54
UOB KAY HIAN PRIVATE LIMITED,"8,876,870",0.44
OCBC SECURITIES PRIVATE LIMITED,"7,732,739",0.38
KGI SECURITIES SINGAPORE PRIVATE LIMITED,"6,968,063",0.34
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"6,879,025",0.34
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"5,902,170",0.29
FRASERS LOGISTICS & INDUSTRIAL ASSET MANAGEMENT PRIVATE LIMITED,"5,763,623",0.29
PHILLIP SECURITIES PRIVATE LIMITED,"5,745,594",0.28
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"4,991,541",0.25
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"3,633,816",0.18
