NAME,SHARES,PERCENTAGE
HUTCHISON PORT GROUP HOLDINGS LIMITED,"2,406,227,022",27.62
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"1,583,489,526",18.18
PORTCAPITAL LIMITED,"905,364,000",10.39
DBS NOMINEES PRIVATE LIMITED,"632,707,210",7.26
PSA INTERNATIONAL PRIVATE LIMITED,"330,814,600",3.8
RAFFLES NOMINEES PRIVATE LIMITED,"329,340,287",3.78
DBSN SERVICES PRIVATE LIMITED,"315,118,332",3.62
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"248,997,055",2.86
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"225,811,877",2.59
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"194,653,615",2.23
DB NOMINEES SINGAPORE PRIVATE LIMITED,"72,124,009",0.83
UOB KAY HIAN PRIVATE LIMITED,"43,498,039",0.5
OCBC SECURITIES PRIVATE LIMITED,"40,596,811",0.47
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"38,635,531",0.44
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"34,317,335",0.39
MERRILL LYNCH SINGAPORE PRIVATE LIMITED,"31,464,183",0.36
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"31,073,689",0.36
PHILLIP SECURITIES PRIVATE LIMITED,"27,580,831",0.32
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"23,442,871",0.27
GOH KIA SENG,"19,136,500",0.22
