NAME,SHARES,PERCENTAGE
CITIBANK NOMINEES SINGAPORE PTE LTD ,"457,921,338",15.87
HARBOURFRONT PLACE PTE. LTD. ,"413,488,636",14.32
DBS NOMINEES (PRIVATE) LIMITED ,"334,338,232",11.59
HARBOURFRONT EIGHT PTE LTD ,"328,887,934",11.39
HSBC (SINGAPORE) NOMINEES PTE LTD ,"293,581,877",10.17
DBSN SERVICES PTE. LTD.,"286,774,449",9.94
THE HARBOURFRONT PTE LTD ,"128,571,428",4.46
RAFFLES NOMINEES (PTE.) LIMITED ,"124,897,478",4.33
NTUC FAIRPRICE CO-OPERATIVE LIMITED ,"68,000,000",2.36
MAPLETREE COMMERCIAL TRUST MANAGEMENT LTD. ,"67,223,133",2.33
SIENNA PTE. LTD. ,"44,072,730",1.53
BPSS NOMINEES SINGAPORE (PTE.) LTD. ,"24,263,008",0.84
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED ,"19,456,750",0.67
DB NOMINEES (SINGAPORE) PTE LTD ,"12,012,586",0.42
TOH CAPITAL PTE. LTD.,"6,375,100",0.22
CITIGROUP GLOBAL MARKETS SINGAPORE SECURITIES PTE. LTD. ,"5,247,497",0.18
DBS VICKERS SECURITIES (SINGAPORE) PTE LTD ,"4,532,785",0.16
MERRILL LYNCH (SINGAPORE) PTE. LTD. ,"4,315,466",0.15
CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD. ,"4,091,283",0.14
OCBC NOMINEES SINGAPORE PRIVATE LIMITED ,"3,374,577",0.12
