NAME,SHARES,PERCENTAGE
DBS NOMINEES PRIVATE LIMITED,"778,326,306",22.11
PENGUIN  INTERNATIONAL LIMITED,"339,285,714",9.63
UOB KAY HIAN PRIVATE LIMITED,"338,698,713",9.62
YANLORD CAPITAL PRIVATE LIMITED,"303,571,428",8.62
RHB SECURITIES SINGAPORE PRIVATE LIMITED,"210,588,174",5.98
RAFFLES NOMINEES PRIVATE LIMITED,"151,876,914",4.31
LIM CHAP HUAT,"151,785,714",4.31
OVERSEA CHINESE BANK NOMINEES PRIVATE LIMITED,"132,152,156",3.75
SINGAPORE ENTERPRISES PRIVATE LIMITED,"86,618,414",2.46
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"79,395,127",2.26
SF VENTURES PRIVATE LIMITED,"57,142,857",1.62
CATERPILLAR FINANCIAL SERVICES ASIA PRIVATE LIMITED,"48,858,171",1.39
HO LEE GROUP PRIVATE LIMITED,"40,535,715",1.15
KINGPIN INVESTMENT (PRIVATE LIMITED),"34,780,351",0.99
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"33,710,300",0.96
PAVILION CAPITAL FUND HOLDINGS PRIVATE LIMITED,"32,859,000",0.93
OCBC SECURITIES PRIVATE LIMITED,"29,709,711",0.84
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"26,739,000",0.76
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"21,549,048",0.61
PHILLIP SECURITIES PRIVATE LIMITED,"19,542,500",0.56
