NAME,SHARES,PERCENTAGE
TEMASEK HOLDINGS PRIVATE LIMITED,"1,707,085,854",53.64
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"575,887,045",18.1
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"359,330,948",11.3
KEWALRAM SINGAPORE LIMITED,"223,769,921",7.03
DBS NOMINEES PRIVATE LIMITED,"84,939,832",2.67
RAFFLES NOMINEES PRIVATE LIMITED,"66,003,938",2.07
DAIWA CAPITAL MARKETS SINGAPORE LIMITED,"50,000,000",1.57
UOB KAY HIAN PRIVATE LIMITED,"10,935,309",0.34
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"9,470,598",0.3
DBSN SERVICES PRIVATE LIMITED,"4,781,056",0.15
OCBC SECURITIES PRIVATE LIMITED,"4,232,583",0.13
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"4,112,517",0.13
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"3,496,611",0.11
MAK SENG FOOK,"3,028,296",0.1
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"2,675,739",0.08
MERRILL LYNCH SINGAPORE PRIVATE LIMITED,"2,015,336",0.06
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"1,897,503",0.06
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"1,052,424",0.03
THOMAS GREGERSEN,"1,000,396",0.03
