NAME,SHARES,PERCENTAGE
LOW SEE CHING (LIU SHIJIN),"718,489,092",17.79
DBS NOMINEES PRIVATE LIMITED,"563,441,652",13.95
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"513,395,886",12.71
DB NOMINEES SINGAPORE PRIVATE LIMITED,"507,364,540",12.56
RAFFLES NOMINEES PRIVATE LIMITED,"316,335,231",7.83
DBSN SERVICES PRIVATE LIMITED,"303,495,788",7.51
HONG LEONG FINANCE NOMINEES PRIVATE LIMITED,"186,313,100",4.61
MAYBANK NOMINEES SINGAPORE PRIVATE LIMITED,"175,348,800",4.34
OCBC SECURITIES PRIVATE LIMITED,"98,655,098",2.44
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"97,132,066",2.4
TEE WEE SIEN (ZHENG WEIXIAN),"79,557,492",1.97
TAN YONG HOA,"41,540,101",1.03
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"41,428,050",1.03
UOB KAY HIAN PRIVATE LIMITED,"34,932,728",0.86
CHING CHIAT KWONG,"26,304,239",0.65
LIAN BEE METAL PRIVATE LIMITED,"20,029,916",0.5
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"18,876,860",0.47
PHILLIP SECURITIES PRIVATE LIMITED,"12,762,106",0.32
YAP BOH SIM,"8,000,000",0.2
GOH KEE CHOO (WU QIZHU),"6,125,147",0.15
