NAME,SHARES,PERCENTAGE
OEI HONG LEONG,"134,565,569",9.76
DB NOMINEES SINGAPORE PRIVATE LIMITED,"112,070,002",8.13
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"108,308,778",7.86
SING INVESTMENTS & FINANCE NOMINEES PRIVATE LIMITED,"91,650,000",6.65
RHB SECURITIES SINGAPORE PRIVATE LIMITED,"67,533,956",4.9
GUTHRIE VENTURE PRIVATE LIMITED,"61,750,000",4.48
SBS NOMINEES PRIVATE LIMITED,"51,427,998",3.73
CHEW HUA SENG OR DORIS CHUNG GIM LIAN,"51,019,763",3.7
OEI HONG LEONG ART MUSEUM LIMITED,"43,353,440",3.14
RAFFLES NOMINEES PRIVATE LIMITED,"40,714,748",2.95
HL BANK NOMINEES SINGAPORE PRIVATE LIMITED,"40,539,200",2.94
LIU YINGCHUN,"39,099,800",2.84
DBS NOMINEES PRIVATE LIMITED,"37,644,369",2.73
OCBC SECURITIES PRIVATE LIMITED,"34,183,843",2.48
DORIS CHUNG GIM LIAN,"24,943,159",1.81
WATERWORTH PRIVATE LIMITED,"23,400,000",1.7
GOI SENG HUI,"18,042,400",1.31
LIM & TAN SECURITIES PRIVATE LIMITED,"18,038,719",1.31
CHEW CHIEW SIANG STEVEN,"17,848,130",1.29
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"17,728,452",1.29
