NAME,SHARES,PERCENTAGE
SINGAPORE TELECOMMUNICATIONS LIMITED ,"494,000,000",21.83
DB NOMINEES SINGAPORE PRIVATE LIMITED,"337,793,870",14.93
DBS NOMINEES PRIVATE LIMITED,"249,535,119",11.03
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"222,060,377",9.81
DBSN SERVICES PRIVATE LIMITED,"53,352,998",2.36
RAFFLES NOMINEES PRIVATE LIMITED,"38,777,605",1.71
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"37,288,997",1.65
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"35,572,117",1.57
OCBC SECURITIES PRIVATE LIMITED ,"14,764,705",0.65
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"14,715,800",0.65
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"11,598,107",0.51
NTUC FAIRPRICE CO-OPERATIVE LIMITED,"10,000,000",0.44
TOH CAPITAL PRIVATE LIMITED,"10,000,000",0.44
PHILLIP SECURITIES PRIVATE LIMITED,"9,659,927",0.43
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"9,535,188",0.42
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"8,474,665",0.38
UOB KAY HIAN PRIVATE LIMITED,"7,755,540",0.34
STAR RESOURCES PRIVATE LIMITED,"7,000,000",0.31
HENG SIEW ENG ,"6,606,300",0.29
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"6,002,685",0.27
