NAME,SHARES,PERCENTAGE
TIMES PROPERTIES PRIVATE LIMITED ,"1,264,679,500",49.17
TPR HOLDINGS PTE LTD ,"486,017,500",18.9
DBS NOMINEES (PRIVATE) LIMITED,"206,347,967",8.02
CITIBANK NOMINEES SINGAPORE PTE LTD ,"70,342,552",2.74
NTUC FAIRPRICE CO-OPERATIVE LTD ,"67,213,000",2.61
RAFFLES NOMINEES (PTE) LIMITED ,"59,328,818",2.31
SPH REIT MANAGEMENT PTE LTD ,"38,790,288",1.51
LEE FOUNDATION STATES OF MALAYA ,"17,500,000",0.68
DBSN SERVICES PTE. LTD. ,"15,455,771",0.6
HSBC (SINGAPORE) NOMINEES PTE LTD ,"13,853,495",0.54
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED ,"5,269,600",0.2
OCBC NOMINEES SINGAPORE PRIVATE LIMITED ,"5,099,600",0.2
UOB KAY HIAN PRIVATE LIMITED,"3,280,800",0.13
OCBC SECURITIES PRIVATE LIMITED ,"3,193,600",0.12
CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD. ,"2,660,001",0.1
BPSS NOMINEES SINGAPORE (PTE.) LTD.,"2,302,000",0.09
BNP PARIBAS NOMINEES SINGAPORE PTE LTD ,"2,275,600",0.09
LOW KIM HONG,"2,000,000",0.08
SINGAPORE REINSURANCE CORPORATION LTD - SIF GENERAL ,"1,949,000",0.08
DB NOMINEES (SINGAPORE) PTE LTD ,"1,938,982",0.08
