NAME,SHARES,PERCENTAGE
WING SUN DEVELOPMENT PRIVATE LIMITED,"222,235,490",28.99
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"73,340,358",9.57
WINLYN INVESTMENT PRIVATE LIMITED,"72,717,436",9.49
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"63,142,435",8.24
DBS NOMINEES PRIVATE LIMITED,"57,117,243",7.45
UOB KAY HIAN PRIVATE LIMITED,"41,037,149",5.35
RAFFLES NOMINEES PRIVATE LIMITED,"20,789,774",2.71
EMPIRE GATE HOLDINGS LIMITED,"19,539,572",2.55
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"15,990,404",2.09
DBSN SERVICES PRIVATE LIMITED,"13,269,353",1.73
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"10,146,895",1.32
OCBC SECURITIES PRIVATE LIMITED,"6,179,319",0.81
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"4,355,228",0.57
WINWAY INVESTMENT PRIVATE LIMITED,"3,529,166",0.46
DB NOMINEES SINGAPORE PRIVATE LIMITED,"1,992,521",0.26
PHILLIP SECURITIES PRIVATE LIMITED,"1,900,110",0.25
TAN HWEE BIN,"1,650,635",0.22
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"1,629,910",0.21
NANYANG GUM BENJAMIN MANUFACTURING PRIVATE LIMITED,"1,609,000",0.21
SUNSHINE VENTURES PRIVATE LIMITED,"1,500,000",0.2
