NAME,SHARES,PERCENTAGE
RAFFLES NOMINEES (PTE) LIMITED ,"882,906,339",40.48
CITIBANK NOMINEES SINGAPORE PTE LTD ,"407,057,800",18.66
DBS NOMINEES (PRIVATE) LIMITED ,"152,973,724",7.01
DBSN SERVICES PTE. LTD. ,"66,842,602",3.06
HSBC (SINGAPORE) NOMINEES PTE LTD ,"36,836,520",1.69
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED ,"32,643,156",1.5
OCBC SECURITIES PRIVATE LIMITED ,"23,897,683",1.1
MAYBANK KIM ENG SECURITIES PTE. LTD. ,"21,058,722",0.97
YTL STARHILL GLOBAL REIT MANAGEMENT LIMITED ,"12,937,885",0.59
CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD. ,"11,797,527",0.54
BNP PARIBAS NOMINEES SINGAPORE PTE LTD ,"10,548,260",0.48
OCBC NOMINEES SINGAPORE PRIVATE LIMITED ,"9,790,100",0.45
DB NOMINEES (SINGAPORE) PTE LTD ,"8,532,921",0.39
KGI SECURITIES (SINGAPORE) PTE. LTD. ,"8,314,300",0.38
SOON LI HENG CIVIL ENGINEERING PTE LTD ,"7,300,000",0.33
DBS VICKERS SECURITIES (SINGAPORE) PTE LTD ,"5,934,128",0.27
PHILLIP SECURITIES PTE LTD ,"5,572,800",0.26
UOB KAY HIAN PRIVATE LIMITED ,"3,881,500",0.18
BMT AC ESTATE OF MSE ANGULLIA DECEASED WAKAFF CLAUSE 7 TRUST ,"3,410,000",0.16
NG POH CHENG,"3,296,000",0.15
