NO.,NAME OF SHAREHOLDERS,NUMBER OF SHARES,%
1.,"ACCORDIA GOLF CO., LTD","317,097,000",28.85
2.,DBS NOMINEES (PRIVATE) LIMITED,"230,397,500",20.96
3.,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,"122,437,388",11.14
4.,CITIBANK NOMINEES SINGAPORE PTE LTD,"110,411,219",10.05
5.,RAFFLES NOMINEES (PTE) LIMITED,"81,310,697",7.40
6.,DBSN SERVICES PTE. LTD.,"25,369,246",2.31
7.,HSBC (SINGAPORE) NOMINEES PTE LTD,"24,607,655",2.24
8.,ABN AMRO CLEARING BANK N.V.,"14,563,400",1.33
9.,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"12,247,700",1.11
10.,UOB KAY HIAN PRIVATE LIMITED,"10,468,500",0.95
11.,MAYBANK KIM ENG SECURITIES PTE. LTD.,"5,455,450",0.50
12.,MERRILL LYNCH (SINGAPORE) PTE LTD,"4,966,350",0.45
13.,DAIWA CAPITAL MARKETS SINGAPORE LIMITED,"4,790,000",0.44
14.,PHILLIP SECURITIES PTE LTD,"4,498,900",0.41
15.,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,"3,001,171",0.27
16.,DB NOMINEES (SINGAPORE) PTE LTD,"2,856,500",0.26
17.,XIAO ZHONGMIN,"2,139,100",0.19
18.,OCBC SECURITIES PRIVATE LIMITED,"1,787,200",0.16
19.,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"1,758,400",0.16
20.,BNP PARIBAS NOMINEES SINGAPORE PTE LTD,"1,522,700",0.14
,TOTAL,"981,686,076",89.32
