,NAME,NO. OF SHARES,%
,名称,持股数量,百分比
1.,CHINA EVERBRIGHT WATER HOLDINGS LIMITED,"2,013,448,456",75.24
,中国光大水务控股有限公司,,
2.,CITIBANK NOMINEES SINGAPORE PTE LTD,"191,070,551",7.14
3.,RAFFLES NOMINEES (PTE.) LIMITED,"124,516,909",4.65
4.,DBS NOMINEES (PRIVATE) LIMITED,"94,981,321",3.55
5.,PHILLIP SECURITIES PTE LTD,"31,738,485",1.19
6.,HSBC (SINGAPORE) NOMINEES PTE LTD,"22,370,740",0.84
7.,MAYBANK KIM ENG SECURITIES PTE. LTD.,"21,881,660",0.82
8.,OCBC SECURITIES PRIVATE LIMITED,"17,671,773",0.66
9.,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"8,409,785",0.31
10.,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,"6,134,036",0.23
11.,UOB KAY HIAN PRIVATE LIMITED,"3,807,952",0.14
12.,PU WEIDONG,"3,532,800",0.13
13.,CHIEW CARLTON,"2,832,667",0.11
14.,DBSN SERVICES PTE. LTD.,"2,779,073",0.10
15.,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,"2,724,648",0.10
16.,ABN AMRO CLEARING BANK N.V.,"2,264,891",0.08
17.,MERRILL LYNCH (SINGAPORE) PTE. LTD.,"2,063,140",0.08
18.,DB NOMINEES (SINGAPORE) PTE LTD,"1,896,731",0.07
19.,CHEONG SAE PENG,"1,529,320",0.06
20.,RHB SECURITIES SINGAPORE PTE. LTD.,"1,468,887",0.05
,TOTAL 总计,"2,557,123,825",95.55
222,CHINA EVERBRIGHT WATER LIMITED  I  中国光大水务有限公司,,
