NO.,NAME,,,NO. OF UNITS,%
1,DBS NOMINEES (PRIVATE) LIMITED,,,"499,653,378",39.03
2,RAFFLES NOMINEES (PTE.) LIMITED,,,"180,536,695",14.10
3,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"150,381,462",11.75
4,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"71,819,629",5.61
5,DBSN SERVICES PTE. LTD.,,,"63,037,357",4.92
6,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"54,810,616",4.28
7,DB NOMINEES (SINGAPORE) PTE LTD,,,"29,507,443",2.31
8,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,,"13,686,110",1.07
9,LIEW CHEE KONG,,,"6,079,862",0.47
10,UOB KAY HIAN PRIVATE LIMITED,,,"5,692,607",0.44
11,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,,"5,405,446",0.42
12,PHILLIP SECURITIES PTE LTD,,,"5,060,223",0.40
13,KGI SECURITIES (SINGAPORE) PTE. LTD.,,,"4,254,580",0.33
14,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"3,913,450",0.31
15,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"3,864,766",0.30
16,MAYBANK KIM ENG SECURITIES PTE. LTD.,,,"3,401,752",0.27
17,ABN AMRO CLEARING BANK N.V.,,,"3,310,777",0.26
18,OCBC SECURITIES PRIVATE LIMITED,,,"3,021,347",0.24
19,BNP PARIBAS NOMINEES SINGAPORE PTE. LTD.,,,"2,684,762",0.21
20,STONE FOREST PTE LTD,,,"2,440,000",0.19
,TOTAL,,,"1,112,562,262",86.91
