NO.,NAME,,,NO. OF UNITS,%
1,PARKWAY INVESTMENTS PTE LTD,,,"213,257,000",35.25
2,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"112,880,816",18.66
3,DBS NOMINEES (PRIVATE) LIMITED,,,"93,624,615",15.48
4,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"45,780,458",7.57
5,DBSN SERVICES PTE. LTD.,,,"20,598,191",3.40
6,RAFFLES NOMINEES (PTE.) LIMITED,,,"19,585,661",3.24
7,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"3,164,223",0.52
8,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"2,908,006",0.48
9,PARKWAY TRUST MANAGEMENT LIMITED,,,"2,279,386",0.38
10,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,,"2,051,880",0.34
11,DB NOMINEES (SINGAPORE) PTE LTD,,,"1,745,814",0.29
12,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,,"1,650,262",0.27
13,LIM CHEOK PENG,,,"1,559,000",0.26
14,PHILLIP SECURITIES PTE LTD,,,"1,556,762",0.26
15,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,,"1,341,876",0.22
16,UOB KAY HIAN PRIVATE LIMITED,,,"1,316,700",0.22
17,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"1,211,275",0.20
18,ABN AMRO CLEARING BANK N.V.,,,"1,071,900",0.18
19,MAYBANK KIM ENG SECURITIES PTE. LTD.,,,"982,604",0.16
20,BNP PARIBAS NOMINEES SINGAPORE PTE. LTD.,,,"873,600",0.14
,TOTAL,,,"529,440,029",87.52
