NO.,NAME,,NO. OF SHARES,%
1,SHENG SIONG HOLDINGS PTE LTD,,"448,800,000",29.85
2,DBS NOMINEES (PRIVATE) LIMITED,,"160,726,146",10.69
3,LIM HOCK CHEE,,"137,400,000",9.14
4,LIM HOCK ENG,,"137,400,000",9.14
5,LIM HOCK LENG,,"137,400,000",9.14
6,CITIBANK NOMINEES SINGAPORE PTE LTD,,"122,503,742",8.15
7,DBSN SERVICES PTE. LTD.,,"31,113,076",2.07
8,RAFFLES NOMINEES (PTE.) LIMITED,,"28,969,000",1.93
9,HSBC (SINGAPORE) NOMINEES PTE LTD,,"25,845,858",1.72
10,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,"13,666,030",0.91
11,DB NOMINEES (SINGAPORE) PTE LTD,,"11,249,700",0.75
12,LIM KIM HOCK,,"8,400,000",0.56
13,PHILLIP SECURITIES PTE LTD,,"7,913,499",0.53
14,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,"5,980,200",0.40
15,LIN YUANFENG,,"5,000,000",0.33
16,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,"4,567,520",0.30
17,CHUA KOK SOON,,"4,500,000",0.30
18,OCBC SECURITIES PRIVATE LIMITED,,"3,099,500",0.21
19,MS VENTURE PTE LTD,,"3,000,000",0.20
20,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,"2,647,200",0.18
,TOTAL,,"1,300,181,471",86.50
