NO.,NAME OF SHAREHOLDERS,,,NUMBER OF SHARES,%
1.,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"5,681,780,461",46.18
2.,DBS NOMINEES (PRIVATE) LIMITED,,,"2,051,128,980",16.67
3.,DBSN SERVICES PTE. LTD.,,,"1,618,409,300",13.15
4.,DB NOMINEES (SINGAPORE) PTE LTD,,,"1,007,888,655",8.19
5.,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,,"471,449,800",3.83
6.,THE HONG KONG AND SHANGHAI BANKING CORPORATION LIMITED,,,"341,036,619",2.77
7.,RAFFLES NOMINEES (PTE) LIMITED,,,"157,896,632",1.28
8.,ARANDA INVESTMENTS PTE. LTD.,,,"92,931,200",0.76
9.,MERRILL LYNCH (SINGAPORE) PTE LTD,,,"72,629,465",0.59
10.,LIM & TAN SECURITIES PTE LTD,,,"55,358,600",0.45
11.,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,,"30,714,078",0.25
12.,PHILLIP SECURITIES PTE LTD,,,"24,831,944",0.20
13.,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"21,238,464",0.17
14.,UOB KAY HIAN PRIVATE LIMITED,,,"20,856,400",0.17
15.,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"19,042,335",0.15
16.,MAYBANK KIMENG SECURITIES PTE. LTD.,,,"15,559,681",0.13
17.,OCBC SECURITIES PRIVATE LIMITED,,,"15,365,100",0.12
18.,SUNFIELD PTE LTD,,,"15,000,000",0.12
19.,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"13,247,550",0.11
20.,SUMMERLIGHT  PTE LTD,,,"12,000,000",0.10
TOTAL,,,,"11,738,365,264",95.39
