NO.,NAME,,NO. OF SHARES,%
1,HSBC (SINGAPORE) NOMINEES PTE LTD,,"1,340,705,017",33.98
2,CITIBANK NOMINEES SINGAPORE PTE LTD,,"1,097,167,741",27.81
3,DBS NOMINEES (PRIVATE) LIMITED,,"456,324,850",11.56
4,DBSN SERVICES PTE. LTD.,,"340,721,716",8.64
5,RAFFLES NOMINEES (PTE.) LIMITED,,"272,989,692",6.92
6,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,"48,672,243",1.23
7,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,"37,561,408",0.95
8,MERRILL LYNCH (SINGAPORE) PTE. LTD.,,"23,995,239",0.61
9,MAYBANK KIM ENG SECURITIES PTE. LTD.,,"9,386,100",0.24
10,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,"8,354,100",0.21
11,UOB KAY HIAN PRIVATE LIMITED,,"7,649,600",0.19
12,SOCIETE GENERALE SPORE BRANCH,,"6,224,272",0.16
13,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,"4,705,894",0.12
14,ABN AMRO CLEARING BANK N.V.,,"4,680,747",0.12
15,OCBC SECURITIES PRIVATE LIMITED,,"4,317,900",0.11
16,KENYON PTE LTD,,"4,300,000",0.11
17,PHILLIP SECURITIES PTE LTD,,"3,886,248",0.10
18,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,"3,567,632",0.09
19,LEON LEE SHUNG-FEI,,"3,500,000",0.09
20,DB NOMINEES (SINGAPORE) PTE LTD,,"3,252,710",0.08
,TOTAL,,"3,681,963,109",93.32
