NO.,NAME,,NO. OF SHARES,%
1,CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,,"70,124,920",13.42
2,DB NOMINEES (SINGAPORE) PTE LTD,,"54,506,100",10.43
3,PHILLIP SECURITIES PTE LTD,,"49,294,247",9.43
4,RAFFLES NOMINEES (PTE) LIMITED,,"17,666,962",3.38
5,DBS NOMINEES PTE LTD,,"17,098,272",3.27
6,CITIBANK NOMINEES SINGAPORE PTE LTD,,"14,518,749",2.78
7,OCBC SECURITIES PRIVATE LTD,,"13,115,258",2.51
8,NEO CHENG KANG,,"12,736,200",2.44
9,MAYBANK KIM ENG SECURITIES PTE.LTD.,,"11,914,981",2.28
10,SUSTAINED LAND PTE LTD,,"11,800,000",2.26
11,LEE PUI CHING,,"6,745,346",1.29
12,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,"5,424,124",1.04
13,YONGNAM PRIVATE LIMITED,,"4,082,108",0.78
14,OCBC NOMINEES SINGAPORE PTE LTD,,"3,567,051",0.68
15,ASDEW ACQUISITIONS PTE LTD,,"3,505,500",0.67
16,UOB KAY HIAN PTE LTD,,"3,461,775",0.66
17,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,"3,418,577",0.65
18,HSBC (SINGAPORE) NOMINEES PTE LTD,,"3,370,450",0.64
19,KHOO WOOI CHEE,,"2,929,500",0.56
20,SIAU SUN KING,,"2,784,217",0.53
,TOTAL:,,"312,064,337",59.70
